,Bitcoin Price,Gold Price,Market,Risk Free Rate
1940-11-01,,,,0.02
1940-12-01,,,,0.02
1941-01-01,,,,0.02
1941-02-01,,,,0.04
1941-03-01,,,,0.11
1941-04-01,,,,0.1
1941-05-01,,,,0.11
1941-06-01,,,,0.12
1941-07-01,,,,0.12
1941-08-01,,,,0.13
1941-09-01,,,,0.1
1941-10-01,,,,0.09
1941-11-01,,,,0.28
1941-12-01,,,,0.33
1942-01-01,,,,0.27
1942-02-01,,,,0.25
1942-03-01,,,,0.25
1942-04-01,,,,0.32
1942-05-01,,,,0.37
1942-06-01,,,,0.37
1942-07-01,,,,0.38
1942-08-01,,,,0.38
1942-09-01,,,,0.38
1942-10-01,,,,0.38
1942-11-01,,,,0.38
1942-12-01,,,,0.38
1943-01-01,,,,0.38
1943-02-01,,,,0.38
1943-03-01,,,,0.38
1943-04-01,,,,0.38
1943-05-01,,,,0.38
1943-06-01,,,,0.38
1943-07-01,,,,0.38
1943-08-01,,,,0.38
1943-09-01,,,,0.38
1943-10-01,,,,0.38
1943-11-01,,,,0.38
1943-12-01,,,,0.38
1944-01-01,,,,0.38
1944-02-01,,,,0.38
1944-03-01,,,,0.38
1944-04-01,,,,0.38
1944-05-01,,,,0.38
1944-06-01,,,,0.38
1944-07-01,,,,0.38
1944-08-01,,,,0.38
1944-09-01,,,,0.38
1944-10-01,,,,0.38
1944-11-01,,,,0.38
1944-12-01,,,,0.38
1945-01-01,,,,0.38
1945-02-01,,,,0.38
1945-03-01,,,,0.38
1945-04-01,,,,0.38
1945-05-01,,,,0.38
1945-06-01,,,,0.38
1945-07-01,,,,0.38
1945-08-01,,,,0.38
1945-09-01,,,,0.38
1945-10-01,,,,0.38
1945-11-01,,,,0.38
1945-12-01,,,,0.38
1946-01-01,,,,0.38
1946-02-01,,,,0.38
1946-03-01,,,,0.38
1946-04-01,,,,0.38
1946-05-01,,,,0.38
1946-06-01,,,,0.38
1946-07-01,,,,0.38
1946-08-01,,,,0.38
1946-09-01,,,,0.38
1946-10-01,,,,0.38
1946-11-01,,,,0.38
1946-12-01,,,,0.38
1947-01-01,,,,0.38
1947-02-01,,,,0.38
1947-03-01,,,,0.38
1947-04-01,,,,0.38
1947-05-01,,,,0.38
1947-06-01,,,,0.38
1947-07-01,,,,0.66
1947-08-01,,,,0.75
1947-09-01,,,,0.8
1947-10-01,,,,0.85
1947-11-01,,,,0.92
1947-12-01,,,,0.95
1948-01-01,,,,0.97
1948-02-01,,,,1.0
1948-03-01,,,,1.0
1948-04-01,,,,1.0
1948-05-01,,,,1.0
1948-06-01,,,,1.0
1948-07-01,,,,1.0
1948-08-01,,,,1.06
1948-09-01,,,,1.09
1948-10-01,,,,1.12
1948-11-01,,,,1.14
1948-12-01,,,,1.16
1949-01-01,,,,1.17
1949-02-01,,,,1.17
1949-03-01,,,,1.17
1949-04-01,,,,1.17
1949-05-01,,,,1.17
1949-06-01,,,,1.17
1949-07-01,,,,1.02
1949-08-01,,,,1.04
1949-09-01,,,,1.07
1949-10-01,,,,1.05
1949-11-01,,,,1.08
1949-12-01,,,,1.1
1950-01-01,,,,1.07
1950-02-01,,,,1.12
1950-03-01,,,,1.12
1950-04-01,,,,1.15
1950-05-01,,,,1.16
1950-06-01,,,,1.15
1950-07-01,,,,1.16
1950-08-01,,,,1.2
1950-09-01,,,,1.3
1950-10-01,,,,1.31
1950-11-01,,,,1.36
1950-12-01,,,,1.34
1951-01-01,,,,1.34
1951-02-01,,,,1.36
1951-03-01,,,,1.4
1951-04-01,,,,1.47
1951-05-01,,,,1.55
1951-06-01,,,,1.45
1951-07-01,,,,1.56
1951-08-01,,,,1.62
1951-09-01,,,,1.63
1951-10-01,,,,1.54
1951-11-01,,,,1.56
1951-12-01,,,,1.73
1952-01-01,,,,1.57
1952-02-01,,,,1.54
1952-03-01,,,,1.59
1952-04-01,,,,1.57
1952-05-01,,,,1.67
1952-06-01,,,,1.7
1952-07-01,,,,1.81
1952-08-01,,,,1.83
1952-09-01,,,,1.71
1952-10-01,,,,1.74
1952-11-01,,,,1.85
1952-12-01,,,,2.09
1953-01-01,,,,1.96
1953-02-01,,,,1.97
1953-03-01,,,,2.01
1953-04-01,,,,2.19
1953-05-01,,,,2.16
1953-06-01,,,,2.11
1953-07-01,,,,2.04
1953-08-01,,,,2.04
1953-09-01,,,,1.79
1953-10-01,,,,1.38
1953-11-01,,,,1.44
1953-12-01,,,,1.6
1954-01-01,,,,1.18
1954-02-01,,,,0.97
1954-03-01,,,,1.03
1954-04-01,,,,0.97
1954-05-01,,,,0.76
1954-06-01,,,,0.64
1954-07-01,,,,0.72
1954-08-01,,,,0.92
1954-09-01,,,,1.01
1954-10-01,,,,0.98
1954-11-01,,,,0.93
1954-12-01,,,,1.15
1955-01-01,,,,1.22
1955-02-01,,,,1.17
1955-03-01,,,,1.28
1955-04-01,,,,1.59
1955-05-01,,,,1.45
1955-06-01,,,,1.41
1955-07-01,,,,1.6
1955-08-01,,,,1.9
1955-09-01,,,,2.07
1955-10-01,,,,2.23
1955-11-01,,,,2.24
1955-12-01,,,,2.54
1956-01-01,,,,2.41
1956-02-01,,,,2.32
1956-03-01,,,,2.25
1956-04-01,,,,2.6
1956-05-01,,,,2.61
1956-06-01,,,,2.49
1956-07-01,,,,2.31
1956-08-01,,,,2.6
1956-09-01,,,,2.84
1956-10-01,,,,2.9
1956-11-01,,,,2.99
1956-12-01,,,,3.21
1957-01-01,,,,3.11
1957-02-01,,,,3.1
1957-03-01,,,,3.08
1957-04-01,,,,3.07
1957-05-01,,,,3.06
1957-06-01,,,,3.29
1957-07-01,,,,3.16
1957-08-01,,,,3.37
1957-09-01,,,,3.53
1957-10-01,,,,3.58
1957-11-01,,,,3.31
1957-12-01,,,,3.04
1958-01-01,,,,2.44
1958-02-01,,,,1.53
1958-03-01,,,,1.3
1958-04-01,,,,1.13
1958-05-01,,,,0.91
1958-06-01,,,,0.83
1958-07-01,,,,0.91
1958-08-01,,,,1.69
1958-09-01,,,,2.44
1958-10-01,,,,2.63
1958-11-01,,,,2.67
1958-12-01,,,,2.77
1959-01-01,,,,2.82
1959-02-01,,,,2.7
1959-03-01,,,,2.8
1959-04-01,,,,2.95
1959-05-01,,,,2.84
1959-06-01,,,,3.21
1959-07-01,,,,3.2
1959-08-01,,,,3.38
1959-09-01,,,,4.04
1959-10-01,,,,4.05
1959-11-01,,,,4.15
1959-12-01,,,,4.49
1960-01-01,,,,4.35
1960-02-01,,,,3.96
1960-03-01,,,,3.31
1960-04-01,,,,3.23
1960-05-01,,,,3.29
1960-06-01,,,,2.46
1960-07-01,,,,2.3
1960-08-01,,,,2.3
1960-09-01,,,,2.48
1960-10-01,,,,2.3
1960-11-01,,,,2.37
1960-12-01,,,,2.25
1961-01-01,,,,2.24
1961-02-01,,,,2.42
1961-03-01,,,,2.39
1961-04-01,,,,2.29
1961-05-01,,,,2.29
1961-06-01,,,,2.33
1961-07-01,,,,2.24
1961-08-01,,,,2.39
1961-09-01,,,,2.28
1961-10-01,,,,2.3
1961-11-01,,,,2.48
1961-12-01,,,,2.6
1962-01-01,,,,2.72
1962-02-01,,,,2.73
1962-03-01,,,,2.72
1962-04-01,,,,2.73
1962-05-01,,,,2.69
1962-06-01,,,,2.73
1962-07-01,,,,2.92
1962-08-01,,,,2.82
1962-09-01,,,,2.78
1962-10-01,,,,2.74
1962-11-01,,,,2.83
1962-12-01,,,,2.87
1963-01-01,,,,2.91
1963-02-01,,,,2.92
1963-03-01,,,,2.89
1963-04-01,,,,2.9
1963-05-01,,,,2.93
1963-06-01,,,,2.99
1963-07-01,,,,3.18
1963-08-01,,,,3.32
1963-09-01,,,,3.38
1963-10-01,,,,3.45
1963-11-01,,,,3.52
1963-12-01,,,,3.52
1964-01-01,,,,3.52
1964-02-01,,,,3.53
1964-03-01,,,,3.54
1964-04-01,,,,3.47
1964-05-01,,,,3.48
1964-06-01,,,,3.48
1964-07-01,,,,3.46
1964-08-01,,,,3.5
1964-09-01,,,,3.53
1964-10-01,,,,3.57
1964-11-01,,,,3.64
1964-12-01,,,,3.84
1965-01-01,,,,3.81
1965-02-01,,,,3.93
1965-03-01,,,,3.93
1965-04-01,,,,3.93
1965-05-01,,,,3.89
1965-06-01,,,,3.8
1965-07-01,,,,3.84
1965-08-01,,,,3.84
1965-09-01,,,,3.92
1965-10-01,,,,4.03
1965-11-01,,,,4.09
1965-12-01,,,,4.38
1966-01-01,,,,4.59
1966-02-01,,,,4.65
1966-03-01,,,,4.59
1966-04-01,,,,4.62
1966-05-01,,,,4.64
1966-06-01,,,,4.5
1966-07-01,,,,4.8
1966-08-01,,,,4.96
1966-09-01,,,,5.37
1966-10-01,,,,5.35
1966-11-01,,,,5.32
1966-12-01,,,,4.96
1967-01-01,,,,4.72
1967-02-01,,,,4.56
1967-03-01,,,,4.26
1967-04-01,,,,3.84
1967-05-01,,,,3.6
1967-06-01,,,,3.54
1967-07-01,,,,4.21
1967-08-01,,,,4.27
1967-09-01,,,,4.42
1967-10-01,,,,4.56
1967-11-01,,,,4.73
1967-12-01,,,,4.97
1968-01-01,,,,5.0
1968-02-01,,,,4.98
1968-03-01,,,,5.17
1968-04-01,,,,5.38
1968-05-01,,,,5.66
1968-06-01,,,,5.52
1968-07-01,,,,5.31
1968-08-01,,,,5.09
1968-09-01,,,,5.19
1968-10-01,,,,5.35
1968-11-01,,,,5.45
1968-12-01,,,,5.96
1969-01-01,,,,6.14
1969-02-01,,,,6.12
1969-03-01,,,,6.02
1969-04-01,,,,6.11
1969-05-01,,,,6.04
1969-06-01,,,,6.44
1969-07-01,,,,7.0
1969-08-01,,,,6.98
1969-09-01,,,,7.09
1969-10-01,,,,7.0
1969-11-01,,,,7.24
1969-12-01,,,,7.82
1970-01-01,,,,7.87
1970-02-01,,,,7.13
1970-03-01,,,,6.63
1970-04-01,,,,6.51
1970-05-01,,,,6.84
1970-06-01,,,,6.68
1970-07-01,,,,6.45
1970-08-01,,,,6.41
1970-09-01,,,,6.12
1970-10-01,,,,5.91
1970-11-01,,,,5.28
1970-12-01,,,,4.87
1971-01-01,,,,4.44
1971-02-01,,,,3.7
1971-03-01,,,,3.38
1971-04-01,,,,3.86
1971-05-01,,,,4.14
1971-06-01,,,,4.75
1971-07-01,,,,5.4
1971-08-01,,,,4.94
1971-09-01,,,,4.69
1971-10-01,,,,4.46
1971-11-01,,,,4.22
1971-12-01,,,,4.01
1972-01-01,,,,3.38
1972-02-01,,,,3.2
1972-03-01,,,,3.73
1972-04-01,,,,3.71
1972-05-01,,,,3.69
1972-06-01,,,,3.91
1972-07-01,,,,3.98
1972-08-01,,,,4.02
1972-09-01,,,,4.66
1972-10-01,,,,4.74
1972-11-01,,,,4.78
1972-12-01,,,,5.07
1973-01-01,,,,5.41
1973-02-01,,,,5.6
1973-03-01,,,,6.09
1973-04-01,,,,6.26
1973-05-01,,,,6.36
1973-06-01,,,,7.19
1973-07-01,,,,8.01
1973-08-01,,,,8.67
1973-09-01,,,,8.29
1973-10-01,,,,7.22
1973-11-01,,,,7.83
1973-12-01,,,,7.45
1974-01-01,,,,7.77
1974-02-01,,,,7.12
1974-03-01,,,,7.96
1974-04-01,,,,8.33
1974-05-01,,,,8.23
1974-06-01,,,,7.9
1974-07-01,,,,7.55
1974-08-01,,,,8.96
1974-09-01,,,,8.06
1974-10-01,,,,7.46
1974-11-01,,,,7.47
1974-12-01,,,,7.15
1975-01-01,,,,6.26
1975-02-01,,,,5.5
1975-03-01,,,,5.49
1975-04-01,,,,5.61
1975-05-01,,,,5.23
1975-06-01,,,,5.34
1975-07-01,,,,6.13
1975-08-01,,,,6.44
1975-09-01,,,,6.42
1975-10-01,,,,5.96
1975-11-01,,,,5.48
1975-12-01,,,,5.44
1976-01-01,,,,4.87
1976-02-01,,,,4.88
1976-03-01,,,,5.0
1976-04-01,,,,4.86
1976-05-01,,,,5.2
1976-06-01,,,,5.41
1976-07-01,,,,5.23
1976-08-01,,,,5.14
1976-09-01,,,,5.08
1976-10-01,,,,4.92
1976-11-01,,,,4.75
1976-12-01,,,,4.35
1977-01-01,,,,4.62
1977-02-01,,,,4.67
1977-03-01,,,,4.6
1977-04-01,,,,4.54
1977-05-01,,,,4.96
1977-06-01,,,,5.02
1977-07-01,,,,5.19
1977-08-01,,,,5.49
1977-09-01,,,,5.81
1977-10-01,,,,6.16
1977-11-01,,,,6.1
1977-12-01,,,,6.07
1978-01-01,,,,6.44
1978-02-01,,,,6.45
1978-03-01,,,,6.29
1978-04-01,,,,6.29
1978-05-01,,,,6.41
1978-06-01,,,,6.73
1978-07-01,,,,7.01
1978-08-01,,,,7.08
1978-09-01,,,,7.85
1978-10-01,,,,7.99
1978-11-01,,,,8.64
1978-12-01,,,,9.08
1979-01-01,,,,9.35
1979-02-01,,,,9.32
1979-03-01,,,,9.48
1979-04-01,,,,9.46
1979-05-01,,,,9.61
1979-06-01,,,,9.06
1979-07-01,,,,9.24
1979-08-01,,,,9.52
1979-09-01,,,,10.26
1979-10-01,,,,11.7
1979-11-01,,,,11.79
1979-12-01,,,,12.04
1980-01-01,,,,12.0
1980-02-01,,,,12.86
1980-03-01,,,,15.2
1980-04-01,,,,13.2
1980-05-01,,,,8.58
1980-06-01,,,,7.07
1980-07-01,,,,8.06
1980-08-01,,,,9.13
1980-09-01,,,,10.27
1980-10-01,,,,11.62
1980-11-01,,,,13.73
1980-12-01,,,,15.49
1981-01-01,,,,15.02
1981-02-01,,,,14.79
1981-03-01,,,,13.36
1981-04-01,,,,13.69
1981-05-01,,,,16.3
1981-06-01,,,,14.73
1981-07-01,,,,14.95
1981-08-01,,,,15.51
1981-09-01,,,,14.7
1981-10-01,,,,13.54
1981-11-01,,,,10.86
1981-12-01,,,,10.85
1982-01-01,,,,12.28
1982-02-01,,,,13.48
1982-03-01,,,,12.68
1982-04-01,,,,12.7
1982-05-01,,,,12.09
1982-06-01,,,,12.47
1982-07-01,,,,11.35
1982-08-01,,,,8.68
1982-09-01,,,,7.92
1982-10-01,,,,7.71
1982-11-01,,,,8.07
1982-12-01,,,,7.94
1983-01-01,,,,7.86
1983-02-01,,,,8.11
1983-03-01,,,,8.35
1983-04-01,,,,8.21
1983-05-01,,,,8.19
1983-06-01,,,,8.79
1983-07-01,,,,9.08
1983-08-01,,,,9.34
1983-09-01,,,,9.0
1983-10-01,,,,8.64
1983-11-01,,,,8.76
1983-12-01,,,,9.0
1984-01-01,,,,8.9
1984-02-01,,,,9.09
1984-03-01,,,,9.52
1984-04-01,,,,9.69
1984-05-01,,,,9.83
1984-06-01,,,,9.87
1984-07-01,,,,10.12
1984-08-01,,,,10.47
1984-09-01,,,,10.37
1984-10-01,,,,9.74
1984-11-01,,,,8.61
1984-12-01,,,,8.06
1985-01-01,,,,7.76
1985-02-01,,,,8.27
1985-03-01,,,,8.52
1985-04-01,,,,7.95
1985-05-01,,,,7.48
1985-06-01,,,,6.95
1985-07-01,,,,7.08
1985-08-01,,,,7.14
1985-09-01,,,,7.1
1985-10-01,,,,7.16
1985-11-01,,,,7.24
1985-12-01,,,,7.1
1986-01-01,,,,7.07
1986-02-01,,,,7.06
1986-03-01,,,,6.56
1986-04-01,,,,6.06
1986-05-01,,,,6.15
1986-06-01,,,,6.21
1986-07-01,,,,5.83
1986-08-01,,,,5.53
1986-09-01,,,,5.21
1986-10-01,,,,5.18
1986-11-01,,,,5.35
1986-12-01,,,,5.53
1987-01-01,,,,5.43
1987-02-01,,,,5.59
1987-03-01,,,,5.59
1987-04-01,,,,5.64
1987-05-01,,,,5.66
1987-06-01,,,,5.67
1987-07-01,,,,5.69
1987-08-01,,,,6.04
1987-09-01,,,,6.4
1987-10-01,,,,6.13
1987-11-01,,,,5.69
1987-12-01,,,,5.77
1988-01-01,,,,5.81
1988-02-01,,,,5.66
1988-03-01,,,,5.7
1988-04-01,,,,5.91
1988-05-01,,,,6.26
1988-06-01,,,,6.46
1988-07-01,,,,6.73
1988-08-01,,,,7.06
1988-09-01,,,,7.24
1988-10-01,,,,7.35
1988-11-01,,,,7.76
1988-12-01,,,,8.07
1989-01-01,,,,8.27
1989-02-01,,,,8.53
1989-03-01,,,,8.82
1989-04-01,,,,8.65
1989-05-01,,,,8.43
1989-06-01,,,,8.15
1989-07-01,,,,7.88
1989-08-01,,,,7.9
1989-09-01,,,,7.75
1989-10-01,,,,7.64
1989-11-01,,,,7.69
1989-12-01,,,,7.63
1990-01-01,,,,7.64
1990-02-01,,,,7.74
1990-03-01,,,,7.9
1990-04-01,,,,7.77
1990-05-01,,,,7.74
1990-06-01,,,,7.73
1990-07-01,,,,7.62
1990-08-01,,,,7.45
1990-09-01,,,,7.36
1990-10-01,,,,7.17
1990-11-01,,,,7.06
1990-12-01,,,,6.74
1991-01-01,,,,6.22
1991-02-01,,,,5.94
1991-03-01,,,,5.91
1991-04-01,,,,5.65
1991-05-01,,,,5.46
1991-06-01,,,,5.57
1991-07-01,,,,5.58
1991-08-01,,,,5.33
1991-09-01,,,,5.22
1991-10-01,,,,4.99
1991-11-01,,,,4.56
1991-12-01,,,,4.07
1992-01-01,,,,3.8
1992-02-01,,,,3.84
1992-03-01,,,,4.04
1992-04-01,,,,3.75
1992-05-01,,,,3.63
1992-06-01,,,,3.66
1992-07-01,,,,3.21
1992-08-01,,,,3.13
1992-09-01,,,,2.91
1992-10-01,,,,2.86
1992-11-01,,,,3.13
1992-12-01,,,,3.22
1993-01-01,,,,3.0
1993-02-01,,,,2.93
1993-03-01,,,,2.95
1993-04-01,,,,2.87
1993-05-01,,,,2.96
1993-06-01,,,,3.07
1993-07-01,,,,3.04
1993-08-01,,,,3.02
1993-09-01,,,,2.95
1993-10-01,,,,3.02
1993-11-01,,,,3.1
1993-12-01,,,,3.06
1994-01-01,,,,2.98
1994-02-01,,,,3.25
1994-03-01,,,,3.5
1994-04-01,,,,3.68
1994-05-01,,,,4.14
1994-06-01,,,,4.14
1994-07-01,,,,4.33
1994-08-01,,,,4.48
1994-09-01,,,,4.62
1994-10-01,,,,4.95
1994-11-01,,,,5.29
1994-12-01,,,,5.6
1995-01-01,,,,5.71
1995-02-01,,,,5.77
1995-03-01,,,,5.73
1995-04-01,,,,5.65
1995-05-01,,,,5.67
1995-06-01,,,,5.47
1995-07-01,,,,5.42
1995-08-01,,,,5.4
1995-09-01,,,,5.28
1995-10-01,,,,5.28
1995-11-01,,,,5.36
1995-12-01,,,,5.14
1996-01-01,,,,5.0
1996-02-01,,,,4.83
1996-03-01,,,,4.96
1996-04-01,,,,4.95
1996-05-01,,,,5.02
1996-06-01,,,,5.09
1996-07-01,,,,5.15
1996-08-01,,,,5.05
1996-09-01,,,,5.09
1996-10-01,,,,4.99
1996-11-01,,,,5.03
1996-12-01,,,,4.91
1997-01-01,,,,5.03
1997-02-01,,,,5.01
1997-03-01,,,,5.14
1997-04-01,,,,5.16
1997-05-01,,,,5.05
1997-06-01,,,,4.93
1997-07-01,,,,5.05
1997-08-01,,,,5.14
1997-09-01,,,,4.95
1997-10-01,,,,4.97
1997-11-01,,,,5.14
1997-12-01,,,,5.16
1998-01-01,,,,5.04
1998-02-01,,,,5.09
1998-03-01,,,,5.03
1998-04-01,,,,4.95
1998-05-01,,,,5.0
1998-06-01,,,,4.98
1998-07-01,,,,4.96
1998-08-01,,,,4.9
1998-09-01,,,,4.61
1998-10-01,,,,3.96
1998-11-01,,,,4.41
1998-12-01,,,,4.39
1999-01-01,,,,4.34
1999-02-01,,,,4.44
1999-03-01,,,,4.44
1999-04-01,,,,4.29
1999-05-01,,,,4.5
1999-06-01,,,,4.57
1999-07-01,,,,4.55
1999-08-01,,,,4.72
1999-09-01,,,,4.68
1999-10-01,,,,4.86
1999-11-01,,,,5.07
1999-12-01,,,,5.2
2000-01-01,,,,5.32
2000-02-01,,,,5.55
2000-03-01,,,,5.69
2000-04-01,,,,5.66
2000-05-01,,,,5.79
2000-06-01,,,,5.69
2000-07-01,,,,5.96
2000-08-01,,,,6.09
2000-09-01,,,,6.0
2000-10-01,,,,6.11
2000-11-01,,,,6.17
2000-12-01,,,,5.77
2001-01-01,,,,5.15
2001-02-01,,,,4.88
2001-03-01,,,,4.42
2001-04-01,,,,3.87
2001-05-01,,,,3.62
2001-06-01,,,,3.49
2001-07-01,,,,3.51
2001-08-01,,,,3.36
2001-09-01,,,,2.64
2001-10-01,,,,2.16
2001-11-01,,,,1.87
2001-12-01,,100.0,,1.69
2002-01-01,,99.8,,1.65
2002-02-01,,101.8,,1.72
2002-03-01,,106.8,,1.79
2002-04-01,,106.4,,1.71
2002-05-01,,109.5,,1.73
2002-06-01,,113.6,,1.7
2002-07-01,,116.4,,1.68
2002-08-01,,113.4,,1.62
2002-09-01,,112.2,,1.63
2002-10-01,,115.6,,1.58
2002-11-01,,114.5,,1.23
2002-12-01,,115.4,,1.19
2003-01-01,,120.5,,1.17
2003-02-01,,129.1,,1.17
2003-03-01,,130.1,,1.13
2003-04-01,,123.2,,1.13
2003-05-01,,118.7,,1.07
2003-06-01,,128.4,,0.92
2003-07-01,,128.9,,0.9
2003-08-01,,127.0,,0.95
2003-09-01,,130.2,,0.94
2003-10-01,,137.1,,0.92
2003-11-01,,137.0,,0.93
2003-12-01,,140.7,,0.9
2004-01-01,,147.4,,0.88
2004-02-01,,149.8,,0.93
2004-03-01,,146.3,,0.94
2004-04-01,,147.1,,0.94
2004-05-01,,146.1,,1.02
2004-06-01,,138.9,,1.27
2004-07-01,,142.0,,1.33
2004-08-01,,144.0,,1.48
2004-09-01,,145.0,,1.65
2004-10-01,,146.6,,1.76
2004-11-01,,152.1,,2.07
2004-12-01,,158.5,,2.19
2005-01-01,,159.9,,2.33
2005-02-01,,153.5,,2.54
2005-03-01,,153.0,,2.74
2005-04-01,,156.9,,2.78
2005-05-01,,155.2,,2.84
2005-06-01,,152.8,,2.97
2005-07-01,,155.8,,3.22
2005-08-01,,153.5,,3.44
2005-09-01,,158.4,,3.42
2005-10-01,,165.1,,3.71
2005-11-01,,170.0,,3.88
2005-12-01,,171.7,,3.89
2006-01-01,,184.5,,4.24
2006-02-01,,198.7,,4.43
2006-03-01,,200.7,,4.51
2006-04-01,,201.5,,4.6
2006-05-01,,220.8,,4.72
2006-06-01,,243.8,,4.79
2006-07-01,,216.0,,4.95
2006-08-01,,230.1,,4.96
2006-09-01,,229.0,,4.81
2006-10-01,,215.6,,4.92
2006-11-01,,212.1,,4.94
2006-12-01,,226.6,,4.85
2007-01-01,,227.6,,4.98
2007-02-01,,228.1,,5.03
2007-03-01,,240.0,,4.94
2007-04-01,,236.8,,4.87
2007-05-01,,245.3,,4.73
2007-06-01,,241.4,,4.61
2007-07-01,,236.8,,4.82
2007-08-01,,240.7,,4.2
2007-09-01,,240.8,,3.89
2007-10-01,,258.5,,3.9
2007-11-01,,273.7,,3.27
2007-12-01,,291.0,,3.0
2008-01-01,,290.6,,2.75
2008-02-01,,321.9,,2.12
2008-03-01,,333.9,,1.26
2008-04-01,,348.3,,1.29
2008-05-01,,328.2,,1.73
2008-06-01,,320.6,,1.86
2008-07-01,,321.8,,1.63
2008-08-01,,339.2,,1.72
2008-09-01,,302.5,,1.13
2008-10-01,,300.1,,0.67
2008-11-01,,290.8,,0.19
2008-12-01,,272.7,,0.03
2009-01-01,,294.9,,0.13
2009-02-01,,310.8,,0.3
2009-03-01,,340.4,,0.21
2009-04-01,,333.6,,0.16
2009-05-01,,321.8,,0.18
2009-06-01,,335.2,,0.18
2009-07-01,,341.4,,0.18
2009-08-01,,337.5,,0.17
2009-09-01,,342.9,,0.12
2009-10-01,,359.9,,0.07
2009-11-01,,376.7,,0.05
2009-12-01,,405.2,,0.05
2010-01-01,,408.2,,0.06
2010-02-01,,403.4,,0.11
2010-03-01,,395.5,,0.15
2010-04-01,,402.0,,0.16
2010-05-01,,414.5,,0.16
2010-06-01,,434.8,,0.12
2010-07-01,,444.9,,0.16
2010-08-01,,430.2,,0.16
2010-09-01,,439.1,,0.15
2010-10-01,,459.4,,0.13
2010-11-01,,484.4,,0.14
2010-12-01,,494.7,,0.14
2011-01-01,,502.3,,0.15
2011-02-01,,490.7,,0.13
2011-03-01,,495.0,,0.1
2011-03-30,,,1328.26,
2011-03-31,,,1325.83,
2011-04-01,,514.0,1332.41,0.06
2011-04-04,,,1332.87,
2011-04-05,,,1332.63,
2011-04-06,,,1335.54,
2011-04-07,,,1333.51,
2011-04-08,,,1328.17,
2011-04-11,,,1324.46,
2011-04-12,,,1314.16,
2011-04-13,,,1314.41,
2011-04-14,,,1314.52,
2011-04-15,,,1319.68,
2011-04-18,,,1305.14,
2011-04-19,,,1312.62,
2011-04-20,,,1330.36,
2011-04-21,,,1337.38,
2011-04-22,,,,
2011-04-25,,,1335.25,
2011-04-26,,,1347.24,
2011-04-27,,,1355.66,
2011-04-28,,,1360.48,
2011-04-29,,,1363.61,
2011-05-01,,533.9,,0.04
2011-05-02,,,1361.22,
2011-05-03,,,1356.62,
2011-05-04,,,1347.32,
2011-05-05,,,1335.1,
2011-05-06,,,1340.2,
2011-05-09,,,1346.29,
2011-05-10,,,1357.16,
2011-05-11,,,1342.08,
2011-05-12,,,1348.65,
2011-05-13,,,1337.77,
2011-05-16,,,1329.47,
2011-05-17,,,1328.98,
2011-05-18,,,1340.68,
2011-05-19,,,1343.6,
2011-05-20,,,1333.27,
2011-05-23,,,1317.37,
2011-05-24,,,1316.28,
